,"('Number', 'districts')"
0,None
1,None
2,Barguna
3,Barishal
4,Bhola
5,Jhalokati
6,Patuakhali
7,Pirojpur
8,Bandarban
9,Brahmanbaria
10,Chandpur
11,Chattogram
12,Cumilla
13,Cox's Bazar
14,Feni
15,Khagrachhari
16,Lakshmipur
17,Noakhali
18,Rangamati
19,Dhaka
20,Faridpur
21,Gazipur
22,"Gopalganj, Bangladesh"
23,Kishoreganj
24,Madaripur
25,Manikganj
26,Munshiganj
27,Narayanganj
28,Narsingdi
29,Rajbari
30,Shariatpur
31,Tangail
32,Bagerhat
33,Chuadanga
34,Jashore
35,Jhenaidah
36,Khulna
37,Kushtia
38,Magura
39,Meherpur
40,Narail
41,Satkhira
42,Jamalpur
43,Mymensingh
44,Netrokona
45,Sherpur
46,Bogura
47,Joypurhat
48,Naogaon
49,Natore
50,Chapainawabganj
51,Pabna
52,Rajshahi
53,Sirajganj
54,"Dinajpur, Bangladesh"
55,Gaibandha
56,Kurigram
57,Lalmonirhat
58,Nilphamari
59,Panchagarh
60,Rangpur
61,Thakurgaon
62,Habiganj
63,Moulvibazar
64,Sunamganj
65,Sylhet
